Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
truck driver-supervisor,"Posted on March 09, 2024",10688436 Canada Inc.,"Peterborough, ON",32.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare production and other reports, Supervise workers and projects, Train or arrange for training, Monitor and operate signal and track switch control panel, Co-ordinate and schedule activities, Ensure health and safety regulations are followed, Recommend personnel actions, Co-ordinate repairs and rentals, Requisition or order materials, equipment and supplies, Resolve work problems and recommend measures to improve work methods, 5-10 people",,2024-04-08,https://www.jobbank.gc.ca/jobsearch/jobposting/40468953?source=searchresults
administrative assistant,"Posted on March 15, 2024","FENGHILL REALTY INC., BROKERAGE","North York, ON",17.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40534878?source=searchresults
cashier,"Posted on March 20, 2024",Farm Boy Inc.,"Ottawa, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-20,https://www.jobbank.gc.ca/jobsearch/jobposting/40575851?source=searchresults
store manager - retail,"Posted on March 20, 2024",Sally Beauty Holdings,"Whitby, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-20,https://www.jobbank.gc.ca/jobsearch/jobposting/40576152?source=searchresults
personal support worker - home support,"Posted on February 27, 2024",JOHN VECCHIARELLI,"Woodbridge, ON",19.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",1 to less than 7 months,"Administer bedside and personal care, Administer medications, Assist clients with bathing and other aspects of personal hygiene, Assist in regular exercise, e.g., walk, Assume full responsibility for household (in absence of householder), Feed or assist in feeding, Launder clothing and household linens, Mend clothing and linens, Perform light housekeeping and cleaning duties, Plan therapeutic diets and menus, Provide companionship, Provide personal care, Shop for food and household supplies, Prepare and serve nutritious meals",,2024-04-13,https://www.jobbank.gc.ca/jobsearch/jobposting/40379635?source=searchresults
customer service adviser,"Posted on March 19, 2024",RONA+,"Kanata, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-19,https://www.jobbank.gc.ca/jobsearch/jobposting/40565042?source=searchresults
administrative officer,"Posted on March 27, 2024",Dale Parsons,"Mississauga, ON",27.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Review and evaluate new administrative procedures, Delegate work to office support staff, Establish work priorities and ensure procedures are followed and deadlines are met, Carry out administrative activities of establishment, Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation, Co-ordinate and plan for office services such as accommodation, relocation, equipment, supplies, forms, disposal of assets, parking, maintenance and security services, Assist in the preparation of operating budget and maintain inventory and budgetary controls, Assemble data and prepare periodic and special reports, manuals and correspondence, Oversee and co-ordinate office administrative procedures, 3-4 people",,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40637513?source=searchresults
Managers in customer and personal services,"Posted on March 27, 2024",Paladin Security,"Burlington, ON",20.38 HOUR,,Full time,Starts as soon as possible,,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40637309?source=searchresults
concrete finisher,"Posted on March 15, 2024",Cambridge Landscaping and Construction ltd,"Mississauga, ON",39.30 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",3 years to less than 5 years,"Check formwork, granular base and steel reinforcement materials and direct placement of concrete into forms or onto surfaces according to grade, Fill hollows and remove spots on freshly poured cement, Prepare tenders and quotations, Operate power vibrators to compact concrete, Level top surface concrete according to grade and depth specification, Impart desired finish to concrete surfaces using hand and power tools, Instruct apprentices, Install anchor bolts, steel plates, door sills and other fixtures, Waterproof, damp proof and restore surfaces, Repair, resurface and replace worn or damaged sections of concrete structures, Read and interpret blueprints, maps, drawings and specifications","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, As per collective agreement",2024-04-14,https://www.jobbank.gc.ca/jobsearch/jobposting/40526058?source=searchresults
food services manager,"Posted on March 25, 2024",2024012 Ontario Inc,"Hamilton, ON",20.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",2 years to less than 3 years,"Plan, organize, direct, control and evaluate daily operations, Conduct performance reviews, Organize and maintain inventory, Ensure health and safety regulations are followed, Negotiate arrangements with suppliers for food and other supplies, Set staff work schedules and monitor staff performance, Leading/instructing individuals, Address customers' complaints or concerns, Provide customer service, Recruit, train and supervise staff, Perform preventive maintenance, Inspect and test final products, Order stock, Maintain clean and safe work environment, Inspect the cleanliness and practices of establishment employees, 3-4 people",,2024-04-24,https://www.jobbank.gc.ca/jobsearch/jobposting/40615894?source=searchresults
pharmacist,"Posted on March 28, 2024",Silver Fox Pharmacy London,"London, ON",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40651734?source=searchresults
area sales manager,"Posted on March 26, 2024",Kiewit,"Toronto, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40633689?source=searchresults
personal support worker – nursing care,"Posted on February 27, 2024",PeopleCare Communities Inc.,"Delhi, ON",22.34 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,22 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",Experience an asset,"Supply and empty bed pans, Take patients' blood pressure, temperature and pulse, Serve meal trays and feed patients, Weigh, lift, turn and position patients, Make beds and maintain patients' rooms, Bathe, dress and groom patients, Transport patients in wheelchair or stretcher, Collect specimens, Accompany patients on outside recreational activities and perform other duties related to patient care and comfort, Administer first aid in emergency situations, Provide personal care, Provide companionship, Perform light housekeeping and cleaning duties, Launder clothing and household linens, Administer bedside and personal care, Feed or assist in feeding, Assist clients with bathing and other aspects of personal hygiene","Dental plan, Health care plan, As per collective agreement, Group insurance benefits, Other benefits",2024-04-22,https://www.jobbank.gc.ca/jobsearch/jobposting/40376249?source=searchresults
registered early childhood educator  (RECE),"Posted on March 27, 2024",An Apple A Daycare Inc,"Kingston, ON",21.00 HOUR,35 to 44 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College/CEGEP

or equivalent experience
Early childhood education and teaching",2 years to less than 3 years,"Bathe, diaper and feed infants and toddlers, Develop and implement child-care programs that support and promote the physical, cognitive, emotional and social development of children, Assist early childhood educators in carrying out programs that promote the physical, cognitive, emotional and social development of children, Lead activities by telling or reading stories, teaching songs and taking children to local points of interest, Assist early childhood educators or supervisors in keeping records, Encourage children to express creativity through the media of art, dramatic play, music and physical activity, Engage children in activities by telling stories, teaching songs and preparing crafts, Guide and assist children in the development of proper eating, dressing and toilet habits, Maintain daycare equipment and assist in housekeeping and cooking duties, Observe children for signs of potential learning or behavioural problems and prepare reports for parents, guardians or supervisor, Submit written observations on children to early childhood educators or supervisors, Discuss progress and problems of children at staff meetings, Knowledge of licensing regulations, Establish guidelines for behaviour, Assess the abilities, interests and needs of children and discuss progress or problems with parents and other staff members, Attend staff meetings to discuss progress and problems of children, Establish and maintain collaborative relationships with co-workers and community service providers working with children, Plan and maintain an environment that protects the health, security and well-being of children, Plan and organize activities for school-age children in child-care programs before and after regular school hours, Supervise and co-ordinate activities of other early childhood educators and early childhood educator assistants, 5-10 people",,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40639911?source=searchresults
educational assistant,"Posted on March 28, 2024",Simcoe County District School Board,"Bradford, ON",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-05-27,https://www.jobbank.gc.ca/jobsearch/jobposting/40645318?source=searchresults
school vice-principal,"Posted on March 26, 2024",Brant Haldimand Norfolk Catholic District School Board,"Brantford, ON",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-05-25,https://www.jobbank.gc.ca/jobsearch/jobposting/40631227?source=searchresults
parts counter clerk,"Posted on March 20, 2024",Freightliner North Bay,"North Bay, ON",20.00 HOUR,80 hours bi-weekly,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Secondary (high) school graduation certificate

or equivalent experience",Experience an asset,"Answer telephone and relay telephone calls and messages, Clean and maintain office, supply area or warehouse, Conduct sales calls, Perform general office duties, Set-up displays of retail parts and accessories, Address customers' complaints or concerns, Advise on use and appropriateness of goods or parts, Handle cash transactions, Identify, label and catalogue items received, Issue and distribute parts and supplies for internal use, Maintain records on inventory control system, Prepare and track work orders, Prepare requisition orders to replenish parts and supplies, Process incoming requisitions, Receive, unpack and sort incoming parts, supplies and materials, Sell spare and replacement parts, Ship, deliver or pick up parts, products or equipment, Store items in warehouse, tool room or supply area","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Pension plan, Long-term care insurance, Free parking available, Learning/training paid by employer, Team building opportunities",2024-04-14,https://www.jobbank.gc.ca/jobsearch/jobposting/40566919?source=searchresults
ESL (English as a second language) high school teacher,"Posted on March 24, 2024",Futurein Education,"North York, ON",40.00 HOUR,10 to 22 hours per week,Casual employmentPart time,Starts as soon as possible,5 vacancies,English,"Bachelor's degree

or equivalent experience",3 years to less than 5 years,"Assign and correct homework, Develop course content, Evaluate the progress of students and discuss results with students, parents and school officials, Prepare, administer and correct tests, Provide tutoring assistance, Teach students through lectures, discussions, audio-visual presentations and laboratory, shop and field studies",,2024-04-23,https://www.jobbank.gc.ca/jobsearch/jobposting/40607901?source=searchresults
assistant cook,"Posted on March 26, 2024",Bento Sushi,"Guelph, ON",17.00 HOUR,30 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",Will train,"Prepare and cook complete meals or individual dishes and foods, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Clean kitchen and work areas",,2024-04-25,https://www.jobbank.gc.ca/jobsearch/jobposting/40625652?source=searchresults
aerobics instructor,"Posted on March 18, 2024",Canadian Forces Morale and Welfare Services - CFMWS,"Kingston, ON",,,Term or contract,Starts as soon as possible,1 vacancy,,,,,,2024-04-16,https://www.jobbank.gc.ca/jobsearch/jobposting/40548931?source=searchresults
office administrator,"Posted on February 29, 2024",Adria Chemicals & Abrasives Inc.,"Woodbridge, ON",27.10 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Review and evaluate new administrative procedures, Delegate work to office support staff, Establish work priorities and ensure procedures are followed and deadlines are met, Carry out administrative activities of establishment, Co-ordinate and plan for office services such as accommodation, relocation, equipment, supplies, forms, disposal of assets, parking, maintenance and security services, Assemble data and prepare periodic and special reports, manuals and correspondence, Oversee and co-ordinate office administrative procedures",,2024-04-10,https://www.jobbank.gc.ca/jobsearch/jobposting/40395602?source=searchresults
stocking inspector,"Posted on March 27, 2024",Home Depot,"Oakville, ON",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-11,https://www.jobbank.gc.ca/jobsearch/jobposting/40644117?source=searchresults
retail merchandiser,"Posted on March 26, 2024",CROSSMARK,"Whitby, ON",,,Part time,Starts as soon as possible,1 vacancy,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40633353?source=searchresults
special education teacher - elementary school,"Posted on March 25, 2024",Sudbury Catholic District School Board,"Sudbury, ON",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-05-24,https://www.jobbank.gc.ca/jobsearch/jobposting/40618557?source=searchresults
food service supervisor,"Posted on March 13, 2024",SUBWAY SANDWICHES,"Pickering, ON",17.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Establish methods to meet work schedules, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules, 3-4 people",,2024-04-12,https://www.jobbank.gc.ca/jobsearch/jobposting/40508500?source=searchresults
millwright,"Posted on March 22, 2024",Orlick Industries,"Hamilton, ON",38.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40591652?source=searchresults
