Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
baker,"Posted on February 28, 2024",Kaapitaarvik Inc.,"Iqaluit, NU",24.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",2 years to less than 3 years,"Prepare dough for pies, bread, rolls and sweet goods, batters for muffins, cookies and cakes and icings and frostings according to recipes or special customer orders, Requisition or order materials, equipment and supplies, Bake mixed dough and batters, Supervise baking personnel and kitchen staff, Frost and decorate cakes and baked goods, Train staff, Ensure that the quality of products meets established standards, Inspect kitchen and food service areas, Operate machinery, Organize and maintain inventory, Oversee sales and merchandising of baked goods",,2024-03-29,https://www.jobbank.gc.ca/jobsearch/jobposting/40384094?source=searchresults
retail store department head,"Posted on December 05, 2023",The North West Company LP,"Cape Dorset, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723204?source=searchresults
grocery clerk,"Posted on March 03, 2024",The North West Company LP,"Gjoa Haven, NU",19.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Bag, box or parcel purchases for customers, for shipment or delivery, Obtain articles for customers from shelf or stockroom, Order stock, Record incoming stock, Keep stock clean and in order, Price items using stamp or stickers according to price list, Perform general cleaning duties (i.e. sweeping, mopping floors), Operate cash register, Order picking, Provide customer service","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-27,https://www.jobbank.gc.ca/jobsearch/jobposting/40414571?source=searchresults
housekeeping room attendant supervisor,"Posted on January 29, 2024",902776 N.W.T. Limited,"Iqaluit, NU",24.30 HOUR,38.5 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Hire and train or arrange for training of cleaning staff, Supervise and co-ordinate activities of workers, Inspect sites or facilities to ensure safety and cleanliness standards, Recommend or arrange for additional services required such as painting, repair work, renovations or replacement of furnishings and equipment, Receive payment for specialized cleaning jobs, Assist cleaners in performing duties, Co-ordinate work activities with other departments, Establish work schedules","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40147595?source=searchresults
retail store department head,"Posted on December 05, 2023",The North West Company LP,"Iqaluit, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723203?source=searchresults
diesel mechanic,"Posted on March 27, 2024",Nasittuq Corporation,"Grise Fiord, NU",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40657528?source=searchresults
hotel clerk supervisor,"Posted on January 29, 2024",902776 N.W.T. Limited,"Iqaluit, NU",23.00 HOUR,38.5 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Perform same duties as workers supervised, Assist clients/guests with special needs, Co-ordinate, assign and review work, Maintain operation of computer systems, equipment, machinery and arrange repair work to ensure business continuity and customer service delivery, Establish work schedules and procedures and co-ordinate activities with other work units or departments, Hire and train staff in job duties, safety procedures and company policies, Requisition materials and supplies, Resolve work-related problems and prepare and submit progress and other reports","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40147605?source=searchresults
bar attendant,"Posted on February 27, 2024",902776 N.W.T. Limited,"Iqaluit, NU",18.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Organize and set up bar, Short order cooking and food preparation, Clean bar area and wash glassware, Serve food or snacks, Clean draft beer system, Advise on wine selection, Provide recommendations on drink selections, Collect cash, credit/debit cards or other payment for beverages, Operate video lottery terminal, Record and balance beverage sales, Store beverage and food products, Order bar stock and maintain inventory and control of bar stock, Address customers' complaints or concerns, Enforce provincial/territorial liquor legislation and regulations, Prepare mixed drinks, wine, draft or bottled beer and non-alcoholic beverages, Take beverage orders from serving staff or directly from patrons","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-22,https://www.jobbank.gc.ca/jobsearch/jobposting/40374902?source=searchresults
high school teacher,"Posted on March 28, 2024",ApplytoEducation,"Arctic Bay, NU",,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40649955;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
retail store department head,"Posted on March 29, 2024",The North West Company LP,"Cape Dorset, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40658453;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
