Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,url
food service supervisor,"Posted on January 13, 2024",mainstreet donair & falafel,"Yellowknife, NT",22.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",2 years to less than 3 years,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40017589?source=searchresults
retail sales associate,"Posted on March 14, 2024",Dollarama L.P./S.E.C.,"Yellowknife, NT",17.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",1 year to less than 2 years,"Operate cash register, Provide advice about merchandise, Provide customer service, Assist in display of merchandise, Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease, Prepare merchandise for purchase, rental or lease","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Group insurance benefits, Pension plan, Maternity and parental benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40513501;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
hotel general manager,"Posted on January 19, 2024",Det'on Cho We Le Dai LP,"Yellowknife, NT","90,000 YEAR",40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Bachelor's degree,3 years to less than 5 years,"Allocate material, human and financial resources to implement organizational policies and programs, Authorize and organize the establishment of major departments and associated senior staff positions, Co-ordinate the work of regions, divisions or departments, Establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning, Establish objectives for the organization and formulate or approve policies and programs, Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions, Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions",,https://www.jobbank.gc.ca/jobsearch/jobposting/40061921?source=searchresults
shift manager - fast food restaurant,"Posted on December 20, 2023",Soul Restaurants Canada Inc,"Yellowknife, NT",19.04 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Prepare budget and cost estimates, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules",,https://www.jobbank.gc.ca/jobsearch/jobposting/39837184?source=searchresults
elementary school teacher,"Posted on March 27, 2024",Northwest Territories School Boards,"Inuvik, NT",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40637237?source=searchresults
cook,"Posted on March 14, 2024",The Woodyard Brewhouse & Eatery,"Yellowknife, NT",24.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations, Ensure that food and service meet quality control standards",Free parking available,https://www.jobbank.gc.ca/jobsearch/jobposting/40518841;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
hospital cleaner,"Posted on March 04, 2024",Dexterra,"Yellowknife, NT",20.50 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,12 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, wash and polish floors, Make beds and change sheets, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Clean and disinfect elevators, Handle and report lost and found items, Provide basic information on facilities, Pick up debris and empty trash containers, Clean changing rooms and showers","Dental plan, Disability benefits, Health care plan, Vision care benefits, Life insurance, Registered Retirement Savings Plan (RRSP)",https://www.jobbank.gc.ca/jobsearch/jobposting/40419766?source=searchresults
office cashier,"Posted on March 16, 2024",The North West Company LP,"Deline, NT",18.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",7 months to less than 1 year,"Process money, cheques and credit/debit card payments, Tabulate total payment for goods or services required, Receive payment for goods or services, Calculate daily/shift payments received and reconcile with total sales, Greet customers, Provide customer service, Monitor all entrances and exits, request proof of payment when necessary","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Stocks/shares, Maternity and parental benefits, Other benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40532624;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
electrician,"Posted on March 20, 2024",NORTHWEST TERRITORIES POWER CORPORATION,"Inuvik, NT",,,,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40575495?source=searchresults
,,,,,,,,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40368350?source=searchresults
